name,description,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127
Barack Obama,"Official portrait, 2012",-0.073306508,0.072975732,0.036408644,-0.068589501,-0.013949842,0.010148656,-0.049087651,-0.094894782,0.208522901,-0.104526699,0.242427871,0.095354237,-0.212426767,-0.116593294,0.074026391,0.099060841,-0.181986555,-0.031631105,-0.084347554,-0.104699112,0.038827576,-0.008835883,0.109878987,-0.035466608,-0.103676602,-0.355038196,-0.086337186,-0.148660764,0.05113538,-0.081940368,-0.05785954,-0.001506297,-0.168495387,-0.104643576,0.00466083,-0.031630121,-0.052840963,-0.05295226,0.238116205,0.006120079,-0.113452576,0.06981042,0.019782715,0.178820193,0.272125036,0.040763177,0.000600597,-0.085559286,0.138458654,-0.256288022,0.074024118,0.121039703,0.086880572,0.063154578,0.083346844,-0.181538209,0.020307004,0.077593893,-0.191685557,0.031074962,0.051029023,-0.086824924,-0.073300168,0.039311673,0.215938732,0.140426427,-0.114909351,-0.09936855,0.128882855,-0.051555172,0.038787067,0.029789731,-0.194427654,-0.20399493,-0.222883895,0.089795008,0.321444243,0.170478955,-0.165593028,0.001788558,-0.199240848,0.046270069,0.072852209,0.004458265,-0.06202314,-0.121742755,-0.0179845,0.029771952,0.093144149,-0.008365327,-0.069430515,0.261812538,0.003077478,0.074440978,0.011747351,0.040289536,-0.105331078,-0.039210495,-0.166166857,-0.038437031,0.05645936,-0.079919212,0.067138106,0.148294628,-0.248675406,0.103205316,-0.013483152,-0.006231581,0.079498485,0.00145913,-0.056074567,-0.030956911,0.084632143,-0.267725646,0.257837713,0.230407596,0.045002703,0.174503908,0.059996158,0.031390324,-0.012461867,-0.008681656,-0.177753493,-0.020886889,0.027018722,0.0761768,0.02980007,0.027453994
Donald Trump,"45th President of the United States January 20, 2017",-0.117319755,0.10658098,0.002987189,0.035111427,-0.138508752,-0.019852312,0.050916333,-0.194598347,-0.006763831,-0.062006142,0.167163312,-0.092818879,-0.36068207,-0.105661809,0.051351376,0.101637483,-0.16994299,-0.142838359,-0.158187479,-0.103898652,0.009085579,-0.025743295,-0.038576443,-0.050297026,-0.111994199,-0.21270135,-0.057908438,-0.104595348,0.004355647,-0.049631462,0.106716983,0.013894739,-0.242251113,-0.093572393,0.020653866,0.047043938,-0.097109459,-0.084100336,0.1185572,-0.019400414,-0.145898744,-0.012141148,0.068346024,0.22873655,0.188573703,0.021161163,-0.027965447,-0.08736255,0.109315835,-0.249510184,-0.030195782,0.140714511,0.119044192,0.131589606,0.019445347,-0.142295942,0.105073214,0.119558796,-0.242689028,0.025213746,0.119326226,-0.142999843,-0.013824029,-0.050509598,0.145465657,0.083140224,-0.029209325,-0.133129865,0.230465829,-0.201926857,-0.133473918,0.036592156,-0.056432061,-0.136153802,-0.311343759,-0.012663402,0.366886675,0.170150802,-0.138632119,-0.09477938,-0.085989967,-0.009115383,0.038143296,0.037852626,-0.040576771,-0.102724195,-0.08567068,-0.004548781,0.222049743,-0.062541388,-0.001918496,0.228022128,0.052896008,-0.110148944,0.066487074,-0.030198937,-0.099938497,-0.033735964,-0.101488166,-0.076537885,-0.014011956,-0.212317273,0.053974595,0.136986703,-0.170035198,0.185975969,-0.01084968,-0.008690193,-0.048293371,-0.092978999,-0.008614241,0.058640592,0.149299458,-0.220812246,0.24812226,0.216776654,6.26E-05,0.086249039,0.009599889,0.086114094,-0.08363656,-0.038684439,-0.191746488,-0.178456306,-0.010482724,0.016900308,-0.010033382,0.038783807
George W. Bush,"2003, 43rd President of the United States",-0.034570765,0.144109994,0.008330441,-0.01843649,-0.164198011,0.045001991,-0.056875564,-0.063012972,0.018656258,0.046525888,0.227296993,-0.086412348,-0.265547305,-0.040620819,-0.029669549,0.14537102,-0.034661852,-0.073809259,-0.189828247,-0.07417158,-0.07801187,-0.006152816,0.064049572,-0.025133833,-0.084857441,-0.31647566,-0.015793832,-0.061992627,0.067228571,-0.098960146,-0.042914763,0.052638069,-0.29351145,-0.061085306,0.030261423,0.071327448,-0.079650551,-0.020262443,0.230342984,0.006026128,-0.137552053,0.070439816,0.119972192,0.191519201,0.163323313,0.063642055,0.037438132,-0.015848771,0.113819905,-0.234875247,0.043501906,0.133069351,0.135024875,0.075848252,0.046653271,-0.118553273,-0.006917643,0.150799572,-0.157447249,0.031223819,-0.013955707,0.001841842,-0.105799347,-0.125988886,0.264258802,0.119431645,-0.063646458,-0.129143283,0.170199841,-0.11130552,-0.016898954,0.086154409,-0.05301512,-0.102747105,-0.286465526,0.09055458,0.2755588,0.064955771,-0.217095107,-0.014906447,-0.034721613,-0.075308517,-0.037295576,-0.054484382,-0.088755324,-0.016839255,-0.082652524,-0.02096663,0.292979687,-0.116011202,0.061454434,0.20157589,0.033448644,0.014446977,-0.006516722,0.057548832,-0.119634531,-0.084966272,-0.14747934,-0.007116678,0.038268872,-0.151472673,-0.042751286,0.064488523,-0.22142455,0.077546075,-0.033853032,-0.065362841,-0.035625875,0.003917125,-0.056072868,-0.064238444,0.167989939,-0.259192407,0.268950731,0.166678876,-0.06013253,0.045910992,0.102421351,0.066474214,0.007186966,0.034684971,-0.090270385,-0.209234342,0.076958574,-0.052600469,-0.059292395,0.058161076
George H. W. Bush,"41st President of the United State, 1989",-0.027829971,0.160558343,0.065793142,0.024432277,-0.085387848,0.050358295,-0.045623425,0.007928577,0.043186713,-0.11725866,0.291143209,-0.048633624,-0.334232539,-0.028563954,-0.081334732,0.177514851,-0.09797284,-0.040621437,-0.202631176,-0.114553355,-0.057189196,0.03079816,-0.010742508,-0.09993612,-0.068970665,-0.28697443,-0.029986326,-0.039432339,0.105580196,-0.191477954,0.008224912,0.041585453,-0.200041965,-0.023482952,0.006808621,0.019826241,-0.093429588,-0.06161448,0.206625655,0.041995231,-0.121942081,0.086377099,0.044268869,0.257675409,0.25100708,-0.028104912,-0.006308481,-0.071277514,0.097362652,-0.286194503,0.026167434,0.124396168,0.158707023,0.134178743,0.087352924,-0.062615126,-0.021164715,0.128060475,-0.136692882,0.006999722,0.029947329,-0.074065618,-0.073899947,-0.057027951,0.111413747,0.022998456,-0.077497132,-0.148275852,0.265590727,-0.165438205,-0.011558398,0.105317622,-0.004647084,-0.114383116,-0.24015151,0.116113961,0.287814528,0.1682228,-0.12650241,0.024245327,-0.023568965,-0.141378656,-0.06108591,0.020207539,-0.058921635,-0.118487656,-0.001428092,0.068394363,0.237906605,-0.068530753,0.002755203,0.187301263,0.002953364,-0.066058718,0.023944765,0.00914616,-0.11397174,-0.093708076,-0.127525881,-0.044684023,0.011337908,-0.205871984,-0.06711828,0.077015594,-0.163510442,0.173562184,-0.054478612,-0.069277167,0.023603627,-0.01953185,-0.046197578,0.066918403,0.193219572,-0.241275981,0.265612751,0.170959115,0.031574305,0.036649235,0.123745993,0.046171609,0.047048319,-0.046904322,-0.141353294,-0.245563582,-0.012442192,-0.044299297,-0.02776039,-0.008988207
Xu Jin Jiang,"Actor, Painter",-0.177397013,0.085606173,0.089734308,-0.041364193,-0.031366911,-0.095393836,0.006831845,-0.093006641,0.141848058,-0.060083427,0.247797042,0.01068868,-0.173481539,-0.125125617,-0.064695835,0.143452197,-0.151016042,-0.104626954,-0.10742636,-0.061339408,0.075251818,0.031017071,0.108565666,-0.047972735,-0.007966476,-0.328837097,-0.094002768,-0.039808623,0.090686038,-0.073208392,0.061462253,-0.045666974,-0.25351125,-0.134123594,0.011808201,0.089772105,-0.053900495,-0.088607766,0.207756698,-0.003990308,-0.159822986,-0.003910984,0.077052109,0.280047446,0.13433519,0.088316359,0.00167492,-0.158013195,0.087955408,-0.139145881,0.082546011,0.109227233,0.066897482,0.048172705,0.063013658,-0.134792015,0.095108941,0.105269805,-0.150553182,0.012299655,0.086692542,-0.008165464,-0.060538068,-0.059425641,0.221825525,0.04114927,-0.101723894,-0.186687931,0.125509113,-0.082845546,-0.046941455,0.069123164,-0.106981277,-0.133887604,-0.282087326,0.045618467,0.405878216,0.03114843,-0.146209717,0.04871393,-0.090490133,-0.032935817,0.08409147,0.142976031,-0.07500653,0.057461418,-0.105146714,-0.02428486,0.137890726,-0.016533852,-0.098649107,0.159941971,0.008907525,0.017421074,0.034952469,0.016990773,-0.118306935,0.085882515,-0.166668743,-0.058629841,0.102387704,-0.063776031,-0.028328856,0.080986865,-0.149829224,0.118366614,0.02884499,0.015402616,0.039223254,-0.036987595,-0.113762781,-0.055731542,0.08070948,-0.234712541,0.266034663,0.208676338,0.046733629,0.149654612,0.179046363,0.110628575,0.037186883,0.073251754,-0.168936476,-0.044401724,0.02657713,0.009283971,0.098971009,0.043563452
Chris Hemsworth,"Australian actor, 2019",-0.115545824,0.21370858,0.075268172,-0.046878848,-0.157866836,-0.074586123,-0.067482971,-0.080926456,0.092493206,0.060756844,0.274994344,-0.044585016,-0.285660744,-0.006391689,-0.082211815,0.058495395,-0.203587949,-0.073839135,-0.042987645,-0.051150937,0.062728234,0.057033893,0.088931464,0.084545106,-0.028732836,-0.340018332,-0.045491807,-0.064993627,0.157462895,-0.137890339,0.001197366,0.075627051,-0.261892796,-0.143337846,0.008044624,0.057772454,-0.092198409,-0.134555072,0.218339458,-0.004740427,-0.060991324,-0.007301237,-0.008300455,0.313303024,0.144239321,0.049839154,-0.014750008,-0.071444452,0.072212525,-0.226746142,0.095980041,0.238452911,0.123906627,0.094719991,0.008288528,-0.195391327,0.0960894,0.156663612,-0.263485968,0.11436601,0.08717183,-0.067089148,0.046288427,-0.12817727,0.215453148,0.093831263,-0.060218342,-0.123395063,0.102874987,-0.090196975,-0.042581294,0.121099487,-0.111887798,-0.167004213,-0.199513137,0.038337894,0.279973835,0.155382007,-0.184643999,-0.054839119,-0.11330878,-0.066296294,0.041732669,-0.032063272,-0.098665789,-0.106571823,-0.161806643,0.014948294,0.179380879,0.01672047,-0.113065526,0.281651199,0.017864194,0.01191539,0.070544071,0.028515445,-0.113554612,0.027690263,-0.122730561,0.033173006,-0.011557878,-0.183727115,-0.104661219,0.076092109,-0.14790225,0.079620428,0.029556897,0.030171886,-0.03482563,-0.101470254,-0.189306125,-0.03095335,0.216599733,-0.302618533,0.368318141,0.176257625,0.096388951,0.152733147,0.059202656,0.032687139,0.002828016,-0.12126153,-0.095832221,-0.101588674,0.108944468,-0.061602257,0.041123763,0.040648486
Bill Clinton,"1993, 42nd President of the United States",-0.044622429,0.107115977,0.042677052,0.011603173,-0.127086416,0.034864001,-0.027793061,-0.104585424,0.028220454,-0.054291867,0.124944717,-0.027265508,-0.251641989,-0.047201049,0.003141131,0.112602234,-0.081565581,-0.145090818,-0.109461002,-0.097417898,-0.003700868,0.05749429,-0.087985948,-0.023512522,-0.152212054,-0.253112495,-0.047737602,0.005419809,0.022835925,-0.059059516,0.082801729,0.080760427,-0.191455513,-0.01573851,0.008491119,0.07316415,-0.089258894,-0.041813463,0.107228823,0.06059863,-0.171333134,0.041778654,0.033260461,0.298853248,0.258989096,0.065203108,0.016620848,-0.049654525,0.054865271,-0.287740052,0.066390738,0.114143498,0.073326692,0.135622352,-0.052302592,-0.128054723,0.039693523,0.117121503,-0.204445988,0.031572059,0.092165425,-0.198673934,-0.047233082,-0.00655045,0.19962132,0.083872996,-0.039374281,-0.141249582,0.215259209,-0.189680189,-0.117129631,0.052387428,-0.02927555,-0.097570211,-0.282264024,0.098288573,0.400139064,0.175583482,-0.155147761,0.007900208,-0.071232051,0.071872331,0.107622869,0.013753019,-0.018817751,-0.164000854,-0.081242554,0.007986885,0.254190534,-0.029273294,-0.061205283,0.20167397,0.081340671,-0.069630854,0.068632424,0.036930051,-0.047685619,0.019984441,-0.067950681,-0.092286289,0.084619112,-0.082149833,0.080866776,0.144584283,-0.180037215,0.325012326,0.010740051,0.039926603,0.112669587,-0.031767946,-0.03076552,0.004241159,0.175581589,-0.254112452,0.215517595,0.147713244,0.021840621,0.143776879,0.069534488,0.137211666,-0.03291573,-0.064362697,-0.181291461,-0.122612074,0.043527801,-0.001171904,0.054020125,0.09792655
yasi,creator,-0.118055791,0.021102037,0.065593563,-0.079145834,-0.135431021,-0.021075137,-0.020834647,-0.081965029,0.171480596,-0.203032419,0.10984315,-0.028178031,-0.162764743,0.081028923,0.005341491,0.184531823,-0.20349741,-0.202323183,-0.070240505,-0.084157236,0.005667153,0.024885669,-0.005538119,0.116752714,-0.227475658,-0.337193996,-0.056009129,-0.107600026,-0.000212405,-0.058954991,-0.013152555,0.066368997,-0.194532901,0.027742408,0.010040762,0.144539773,-0.011297077,-0.082549021,0.238637984,0.02006967,-0.300333977,-0.02075878,0.091655113,0.24582684,0.219519779,0.00966242,0.01587576,-0.050073899,0.123122945,-0.278961688,0.041164353,0.125028074,-0.022917088,0.090428181,0.028837718,-0.157814562,0.055158712,0.061358556,-0.197067693,-0.01759663,0.096041247,-0.073540539,0.030917561,-0.030204119,0.261333346,0.113345616,-0.106218003,-0.130578458,0.154188901,-0.239607215,-0.090250678,0.037309453,-0.13947466,-0.163262933,-0.355556488,-0.007923177,0.412781924,0.208919659,-0.08917366,0.080615476,-0.020969218,-0.008768765,0.13626115,0.157406062,-0.026296731,0.046487495,-0.029567942,0.110761151,0.231053159,0.036411427,-0.068789504,0.144419655,0.014154536,0.0071994,0.040479101,0.090855904,-0.124921963,-0.027848713,-0.187763721,0.016195083,-0.004959177,0.087185711,0.031418666,0.18523933,-0.172660097,0.186360598,-0.062059063,-0.089386776,-0.079952851,0.08615803,-0.128796056,-0.043203942,0.110519312,-0.201483175,0.132073611,0.19946532,-0.011946023,0.1403061,0.095684685,0.034072153,-0.02656737,0.031372122,-0.227071434,-0.050622791,0.087068401,-0.028899919,0.166846469,0.052169234
Mina,Kindness,-0.130170226,0.124163941,0.047827516,-0.004794107,-0.123667955,-0.026813932,-0.070635967,-0.097901657,0.127959445,-0.168452218,0.107556626,-0.118711501,-0.240362406,0.027493216,0.048344843,0.20669511,-0.132263273,-0.218235925,-0.104011469,-0.045946747,-0.044697419,-0.053323187,0.041830301,0.115684025,-0.120670587,-0.326889426,-0.039815456,-0.046468977,0.06472227,-0.13631849,-0.108632572,-0.010239733,-0.1797252,-0.03121371,0.071055472,0.126682669,-0.081425846,-0.062698431,0.2396826,-0.030708082,-0.280620039,-0.007737804,0.059672531,0.302111089,0.214646161,0.082807951,-0.032217167,-0.098106816,0.147156149,-0.261413157,0.072674423,0.18527931,0.029769801,0.064199552,0.049768507,-0.152528167,0.025686966,0.149700925,-0.195097089,0.01581683,0.096173257,-0.030876609,0.003700495,-0.100831039,0.267270803,0.103994273,-0.134946182,-0.121697664,0.148012727,-0.183175534,-0.013138198,0.044739198,-0.103482224,-0.202837378,-0.278156161,-0.052049115,0.374706477,0.178284153,-0.122130625,0.052123163,-0.015489409,-0.054429043,0.046462528,0.148518413,-0.071755327,0.006367642,-0.011346545,0.044721782,0.206904441,-0.013870464,-0.004026934,0.137597993,0.021413825,-0.024343178,0.005409951,0.033827495,-0.148690939,-0.068706892,-0.218039423,-0.085051835,-0.07674484,-0.018275775,0.008882285,0.122807316,-0.231465995,0.195195004,0.029453116,-0.029080153,-0.053074729,0.092015788,-0.093809798,-0.059975587,0.10185951,-0.279305696,0.169536099,0.23410818,0.077683777,0.101451397,0.067372561,0.031355351,0.057738561,0.040058263,-0.151281506,-0.084080838,0.074248724,-0.024881402,0.105193712,0.057228044
Ghamar,maman,-0.11453668,0.083630279,0.094514631,0.01116108,-0.152059078,-0.053952392,-0.04692946,-0.164904058,0.134346262,-0.116927944,0.081736632,-0.053217791,-0.228737473,0.012643254,0.035662323,0.191304475,-0.097850427,-0.193726242,-0.089850955,-0.083771892,-0.067675561,0.031494331,0.035462577,0.001480209,-0.161798358,-0.317201674,-0.060893849,-0.050875723,0.093441464,-0.097807623,-0.050950445,0.108227007,-0.166875973,-0.019081241,0.11779467,0.160216495,-0.057420168,-0.042438827,0.194634512,-0.032264985,-0.285372704,-0.053012393,0.095899992,0.247716799,0.192645013,0.045387432,0.01309738,-0.080813743,0.09135171,-0.276343912,-0.015620759,0.091312796,0.005069253,0.07804589,0.070897244,-0.201137766,0.020165805,0.071703672,-0.219577357,-0.010967024,0.0668457,-0.161549747,-0.051233724,-0.016913721,0.223249629,0.055186883,-0.108502425,-0.071731865,0.189532086,-0.197455987,0.01174845,0.067822702,-0.03218035,-0.147792593,-0.33145988,-0.066330209,0.417237967,0.101558469,-0.104914397,0.048862223,-0.006874082,-0.016794918,0.020355277,0.080015734,-0.078174204,0.00774548,-0.034055933,0.049724512,0.238454863,-0.074141994,0.058246225,0.116050124,0.027220696,0.013616984,-0.011532923,0.120932169,-0.106159329,-0.085249774,-0.15230161,-0.042326409,0.007487356,-0.064961687,0.054252677,0.146387994,-0.265008062,0.182561547,0.047344722,-0.112339728,-0.035344671,0.029781114,-0.03168077,-0.041579437,0.121930778,-0.321465075,0.188744992,0.290241688,-0.045838103,0.158507898,-0.006451552,0.010205206,0.00452459,-0.020795397,-0.085447282,-0.152982801,0.022833668,-0.036610849,-0.010152448,0.059881907
Esmaeil,baba,-0.098135941,0.114117585,0.014860688,-0.034018982,-0.04510612,0.012571527,-0.066018127,0.014701368,0.159719869,-0.045311339,0.15976733,-0.018312069,-0.210612714,0.019472772,0.058210313,0.200689852,-0.14138484,-0.094973035,-0.169743091,-0.114471652,-0.056105733,0.016448393,0.048501614,0.052971642,-0.105390295,-0.339163154,-0.086788207,-0.056529675,0.077848077,-0.196867496,-0.01377279,-0.020798005,-0.185924903,-0.095247328,0.068547003,0.03754402,-0.086746521,-0.054697201,0.21357356,0.081783339,-0.179335117,0.091265313,0.043547295,0.29325217,0.259051502,0.067710981,-0.007918004,-0.042261887,0.071571417,-0.247242004,0.055721328,0.12134777,0.088590063,0.118068129,0.048110485,-0.092699349,0.020505909,0.107101485,-0.152227595,0.017872088,0.089601859,-0.086396813,-0.07469286,-0.013102447,0.173942521,0.103973225,-0.132796198,-0.149562761,0.088474974,-0.101805516,-0.01709307,0.037203792,-0.082840189,-0.142750621,-0.287744492,0.08118169,0.35371235,0.085133381,-0.189481929,0.025825864,-0.014345681,0.011078538,0.006808193,0.088273481,-0.11689911,-0.08083313,0.028709637,0.044877291,0.135591581,0.017686926,-0.060675129,0.091495208,-0.014840689,0.027122702,0.061600171,0.125408083,-0.102888331,-0.076284111,-0.124025613,-0.031647287,0.033552732,-0.069781512,-0.01210769,0.083336979,-0.191302702,0.250271529,0.016834076,-0.054831635,0.005335889,0.136706382,-0.076534383,0.004389436,0.127709761,-0.2817505,0.250908554,0.271100491,-0.04684519,0.088880964,0.077514984,0.084921025,-0.014333594,0.119769596,-0.112643123,-0.139516518,0.012191994,0.024461538,0.064263053,0.008484787
Mikaeil,awsem gamer,-0.138342038,0.019113865,0.05202705,-0.120036982,-0.178591788,-0.053665113,-0.07458958,-0.029764598,0.16057685,-0.180672854,0.158343181,-0.066460252,-0.155492157,0.006299359,-0.049805827,0.186018944,-0.173024014,-0.118187696,0.000358948,-0.070707962,0.07165315,0.09383069,-0.060285442,0.050973501,-0.107441299,-0.38036707,-0.120539434,-0.092863984,0.020360216,-0.092486985,-0.007782447,0.12171521,-0.183380947,-0.020141281,0.025132036,0.118847899,-0.019585397,-0.062402338,0.169294178,0.076619968,-0.215554222,0.017467467,0.027873568,0.238719419,0.083027795,0.011689784,0.027225645,-0.061556671,0.089254975,-0.15246281,0.016570209,0.141572118,0.054064553,0.022715434,0.072179303,-0.078563854,0.060595859,0.046860494,-0.239590332,0.010469133,0.09868563,-0.070506856,-0.041514885,-0.058826227,0.1981197,0.105182007,-0.052801404,-0.167782634,0.220762223,-0.148445189,-0.077622935,0.063364573,-0.116310321,-0.15112026,-0.214940384,0.028398015,0.419162184,0.145947009,-0.123228528,0.080456808,0.005080703,-0.105747752,0.128501132,0.121517129,-0.028063025,0.053737678,-0.009235577,0.11773403,0.192444772,0.01203303,-0.037305955,0.153547585,0.026033044,0.064532846,0.049778908,-0.01950576,-0.05451975,-0.015982941,-0.113963619,0.002733071,0.034001566,-0.051053055,-0.054979075,0.124667525,-0.109783918,0.154742777,-0.018915292,-0.096005961,-0.11810305,0.068291634,-0.12829864,0.001648644,0.118892208,-0.189892307,0.182272658,0.143764049,0.006524701,0.128714263,0.0726832,0.029807016,0.005816018,-0.09206818,-0.212903559,-0.105981871,0.102579564,-0.034427788,0.103596397,0.003345207
Meysam,Brother,-0.182847261,0.118256435,0.052594073,-0.035294045,-0.11960721,-0.045673184,-0.05281096,-0.072943017,0.107547618,-0.052486453,0.161607653,-0.05889076,-0.20536007,0.015008648,-0.003878489,0.159170181,-0.109962545,-0.152479693,-0.113757797,-0.189545542,0.022711238,0.053770468,-0.005434022,0.01879085,-0.200758338,-0.288122892,-0.052834708,-0.154215664,0.083929874,-0.140127108,-0.044699538,-0.002198315,-0.161478087,-0.034995385,0.064640135,0.056832261,0.032871816,-0.0461533,0.167035624,0.005191843,-0.1149785,0.046409827,0.118671753,0.293147147,0.169237018,0.041642185,0.014806917,-0.045999963,0.044111155,-0.134822786,0.096217513,0.076228194,0.074412048,0.100997351,0.127427712,-0.126626357,0.041181263,0.044439815,-0.21355179,0.085597545,0.142717153,0.012076325,-0.063437477,-0.055714369,0.212624744,0.086073898,-0.087308325,-0.1203233,0.082429715,-0.181412384,-0.040340398,0.014811455,-0.081468128,-0.095607005,-0.223476797,0.043759286,0.391835421,0.221711725,-0.236603156,0.007153724,0.003942965,-0.086324438,0.113323145,0.007148264,-0.104848407,0.006470682,-0.062009651,0.058288246,0.1867861,0.059078686,-0.007367732,0.183561221,0.037596017,-0.055195332,0.035928249,0.048120439,-0.197592944,-0.085769817,-0.076988757,-0.10785833,0.000517949,-0.072005711,0.008784866,0.122808084,-0.158911511,0.169258654,-0.022667211,-0.033598073,-0.11887414,0.154735863,-0.060543288,-0.041687973,0.106613405,-0.172515571,0.125911981,0.189808071,0.008882307,0.085961506,0.037592918,0.050333492,-0.004826046,0.096142516,-0.090259254,-0.115979142,-0.00245345,-0.049699161,0.121180728,0.086668268
